iter	Passed	Remaining
795	43488	11145
796	43534	11088
797	43591	11034
798	43640	10978
799	43690	10922
800	43734	10865
801	43788	10810
802	43845	10756
803	43884	10698
804	43933	10642
805	43983	10586
806	44032	10530
807	44077	10473
808	44146	10422
809	44222	10373
810	44326	10330
811	44407	10281
812	44455	10225
813	44492	10166
814	44537	10109
815	44584	10053
816	44628	9996
817	44665	9937
818	44704	9879
819	44764	9826
820	44821	9772
821	44880	9718
822	44927	9662
823	44977	9606
824	45024	9550
825	45067	9493
826	45116	9437
827	45161	9381
828	45212	9326
829	45257	9269
830	45309	9214
831	45363	9159
832	45408	9103
833	45464	9049
834	45514	8993
835	45560	8937
836	45612	8882
837	45661	8827
838	45721	8773
839	45773	8718
840	45824	8663
841	45890	8611
842	45958	8559
843	46008	8503
844	46064	8449
845	46140	8399
846	46242	8353
847	46351	8308
848	46432	8258
849	46512	8208
850	46564	8152
851	46650	8103
852	46735	8054
853	46776	7996
854	46824	7940
855	46875	7885
856	46925	7830
857	46967	7773
858	47009	7716
859	47057	7660
860	47105	7604
861	47147	7548
862	47199	7492
863	47256	7438
864	47307	7383
865	47353	7327
866	47405	7272
867	47456	7216
868	47491	7159
869	47540	7103
870	47581	7047
871	47627	6991
872	47669	6934
873	47717	6879
874	47760	6822
875	47813	6768
876	47864	6713
877	47923	6659
878	47973	6603
879	48014	6547
880	48059	6491
881	48102	6435
882	48149	6379
883	48203	6325
884	48250	6269
885	48286	6212
886	48335	6157
887	48383	6102
888	48431	6047
889	48481	5992
890	48533	5937
891	48579	5881
892	48619	5825
893	48670	5770
894	48707	5714
895	48748	5658
896	48801	5603
897	48845	5548
898	48900	5493
899	48947	5438
900	49020	5386
901	49115	5336
902	49182	5283
903	49227	5227
904	49281	5173
905	49322	5117
906	49383	5063
907	49462	5011
908	49531	4958
909	49580	4903
910	49624	4848
911	49673	4793
912	49711	4737
913	49751	4681
914	49801	4626
915	49847	4571
916	49905	4517
917	49957	4462
918	50004	4407
919	50052	4352
920	50101	4297
921	50152	4242
922	50203	4188
923	50255	4133
924	50300	4078
925	50350	4023
926	50397	3968
927	50445	3913
928	50493	3859
929	50543	3804
930	50592	3749
931	50638	3694
932	50689	3640
933	50733	3585
934	50782	3530
935	50826	3475
936	50865	3419
937	50924	3365
938	50975	3311
939	51013	3256
940	51060	3201
941	51107	3146
942	51154	3092
943	51200	3037
944	51249	2982
945	51304	2928
946	51362	2874
947	51437	2821
948	51548	2770
949	51640	2717
950	51708	2664
951	51756	2609
952	51807	2555
953	51889	2501
954	51936	2447
955	51980	2392
956	52029	2337
957	52072	2282
958	52114	2228
959	52157	2173
960	52203	2118
961	52248	2063
962	52294	2009
963	52340	1954
964	52391	1900
965	52440	1845
966	52488	1791
967	52533	1736
968	52576	1681
969	52623	1627
970	52671	1573
971	52716	1518
972	52765	1464
973	52807	1409
974	52856	1355
975	52904	1300
976	52956	1246
977	53006	1192
978	53051	1137
979	53095	1083
980	53148	1029
981	53193	975
982	53239	920
983	53287	866
984	53342	812
985	53385	758
986	53438	703
987	53489	649
988	53537	595
989	53594	541
990	53639	487
991	53686	432
992	53738	378
993	53778	324
994	53828	270
995	53873	216
996	53924	162
997	54006	108
998	54094	54
999	54136	0
