,Date,Holiday
,22/04/23,True
,23/04/23,True
,24/04/23,False
,25/04/23,True
,26/04/23,True
,27/04/23,False
,28/04/23,False
,29/04/23,False
,30/04/23,True
,01/05/23,True
,02/05/23,False
,03/05/23,False
,04/05/23,False
,05/05/23,False
,06/05/23,False
,07/05/23,True
,08/05/23,False
,09/05/23,False
,10/05/23,False
,11/05/23,False
,12/05/23,False
,13/05/23,False
,14/05/23,True
,15/05/23,False
,16/05/23,False
,17/05/23,False
,18/05/23,True
,19/05/23,False
,20/05/23,False
,21/05/23,True
,22/05/23,False
,23/05/23,False
,24/05/23,False
,25/05/23,False
,26/05/23,False
,27/05/23,False
,28/05/23,True
,29/05/23,False
,30/05/23,False
,31/05/23,False
,01/06/23,True
,02/06/23,True
,03/06/23,False
,04/06/23,True
,05/06/23,False
,06/06/23,False
,07/06/23,False
,08/06/23,False
,09/06/23,False
,10/06/23,False
,11/06/23,True
,12/06/23,False
,13/06/23,False
,14/06/23,False
,15/06/23,False
,16/06/23,False
,17/06/23,False
,18/06/23,True
,19/06/23,False
,20/06/23,False
,21/06/23,False
,22/06/23,False
,23/06/23,False
,24/06/23,False
,25/06/23,True
,26/06/23,False
,27/06/23,False
,28/06/23,False
,29/06/23,True
,30/06/23,False
,01/07/23,False
,02/07/23,True
,03/07/23,False
,04/07/23,False
,05/07/23,False
,06/07/23,False
,07/07/23,False
,08/07/23,False
,09/07/23,True
,10/07/23,False
,11/07/23,False
,12/07/23,False
,13/07/23,False
,14/07/23,False
,15/07/23,False
,16/07/23,True
,17/07/23,False
,18/07/23,False
,19/07/23,True
,20/07/23,False
,21/07/23,False
,22/07/23,False
,23/07/23,True
,24/07/23,False
,25/07/23,False
,26/07/23,False
,27/07/23,False
,28/07/23,False
,29/07/23,False
,30/07/23,True
,31/07/23,False
,01/08/23,False
,02/08/23,False
,03/08/23,False
,04/08/23,False
,05/08/23,False
,06/08/23,True
,07/08/23,False
,08/08/23,False
,09/08/23,False
,10/08/23,False
,11/08/23,False
,12/08/23,False
,13/08/23,True
,14/08/23,False
,15/08/23,False
,16/08/23,False
,17/08/23,True
,18/08/23,False
,19/08/23,False
,20/08/23,True
,21/08/23,False
,22/08/23,False
,23/08/23,False
,24/08/23,False
,25/08/23,False
,26/08/23,False
,27/08/23,True
,28/08/23,False
,29/08/23,False
,30/08/23,False
,31/08/23,False
,01/09/23,False
,02/09/23,False
,03/09/23,True
,04/09/23,False
,05/09/23,False
,06/09/23,False
,07/09/23,False
,08/09/23,False
,09/09/23,False
,10/09/23,True
,11/09/23,False
,12/09/23,False
,13/09/23,False
,14/09/23,False
,15/09/23,False
,16/09/23,False
,17/09/23,True
,18/09/23,False
,19/09/23,False
,20/09/23,False
,21/09/23,False
,22/09/23,False
,23/09/23,False
,24/09/23,True
,25/09/23,False
,26/09/23,False
,27/09/23,False
,28/09/23,True
,29/09/23,False
,30/09/23,False
,01/10/23,True
,02/10/23,False
,03/10/23,False
,04/10/23,False
,05/10/23,False
,06/10/23,False
,07/10/23,False
,08/10/23,True
,09/10/23,False
,10/10/23,False
,11/10/23,False
,12/10/23,False
,13/10/23,False
,14/10/23,False
,15/10/23,True
,16/10/23,False
,17/10/23,False
,18/10/23,False
,19/10/23,False
,20/10/23,False
,21/10/23,False
,22/10/23,True
,23/10/23,False
,24/10/23,False
,25/10/23,False
,26/10/23,False
,27/10/23,False
,28/10/23,False
,29/10/23,True
,30/10/23,False
,31/10/23,False
,01/11/23,False
,02/11/23,False
,03/11/23,False
,04/11/23,False
,05/11/23,True
,06/11/23,False
,07/11/23,False
,08/11/23,False
,09/11/23,False
,10/11/23,False
,11/11/23,False
,12/11/23,True
,13/11/23,False
,14/11/23,False
,15/11/23,False
,16/11/23,False
,17/11/23,False
,18/11/23,False
,19/11/23,True
,20/11/23,False
,21/11/23,False
,22/11/23,False
,23/11/23,False
,24/11/23,False
,25/11/23,False
,26/11/23,True
,27/11/23,False
,28/11/23,False
,29/11/23,False
,30/11/23,False
,01/12/23,False
,02/12/23,False
,03/12/23,True
,04/12/23,False
,05/12/23,False
,06/12/23,False
,07/12/23,False
,08/12/23,False
,09/12/23,False
,10/12/23,True
,11/12/23,False
,12/12/23,False
,13/12/23,False
,14/12/23,False
,15/12/23,False
,16/12/23,False
,17/12/23,True
,18/12/23,False
,19/12/23,False
,20/12/23,False
,21/12/23,False
,22/12/23,False
,23/12/23,False
,24/12/23,True
,25/12/23,True
,26/12/23,True
,27/12/23,False
,28/12/23,False
,29/12/23,False
,30/12/23,False
,31/12/23,True
